id|datetm|cui|type|polarity|text
574791155906273280|Mon Mar 09 04:37:45 UTC 2015|C0574032|5|1|infusion
574791155906273280|Mon Mar 09 04:37:45 UTC 2015|C2584304|3|1|write
575150557083660288|Tue Mar 10 04:25:53 UTC 2015|C0021400|2|1|flu
575150557083660288|Tue Mar 10 04:25:53 UTC 2015|C0032285|2|1|pneumonia
575150557083660288|Tue Mar 10 04:25:53 UTC 2015|C0021400|2|-1|flu
575150564369104896|Tue Mar 10 04:25:54 UTC 2015|C0024554|3|1|M
578768440657207296|Fri Mar 20 04:02:03 UTC 2015|C0524222|5|1|OxyContin
578768440657207296|Fri Mar 20 04:02:03 UTC 2015|C0722364|1|1|OxyContin
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C1522449|5|1|RT
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C0013443|6|1|ears
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C1280739|6|1|penis
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C0030851|6|1|penis
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C0524222|5|1|oxycontin
574793571099799552|Mon Mar 09 04:47:21 UTC 2015|C0722364|1|1|oxycontin
574793686573260800|Mon Mar 09 04:47:48 UTC 2015|C1522449|5|1|RT
574793686573260800|Mon Mar 09 04:47:48 UTC 2015|C0939246|1|1|advair 250 diskus
574795688229216257|Mon Mar 09 04:55:45 UTC 2015|C1306459|2|1|cancer
574795688229216257|Mon Mar 09 04:55:45 UTC 2015|C0006826|2|1|cancer
574798638859292673|Mon Mar 09 05:07:29 UTC 2015|C0524222|5|1|OxyContin
574798638859292673|Mon Mar 09 05:07:29 UTC 2015|C0722364|1|1|OxyContin
574798675987283968|Mon Mar 09 05:07:38 UTC 2015|C0524222|5|1|oxyContin
574798675987283968|Mon Mar 09 05:07:38 UTC 2015|C0722364|1|1|oxyContin
574799154087510016|Mon Mar 09 05:09:32 UTC 2015|C0222045|6|1|scale
574799154087510016|Mon Mar 09 05:09:32 UTC 2015|C0939400|1|1|nexium
574799158227304448|Mon Mar 09 05:09:33 UTC 2015|C0719198|1|1|celebrex
574833280752582656|Mon Mar 09 07:25:08 UTC 2015|C1522449|5|1|RT
574833280752582656|Mon Mar 09 07:25:08 UTC 2015|C0024554|3|1|m
574833280752582656|Mon Mar 09 07:25:08 UTC 2015|C0524222|5|1|oxycontin
574833280752582656|Mon Mar 09 07:25:08 UTC 2015|C0722364|1|1|oxycontin
578776639355559936|Fri Mar 20 04:34:38 UTC 2015|C0528249|1|1|Humalog
578776639355559936|Fri Mar 20 04:34:38 UTC 2015|C0939412|1|1|Novolog
574806129772924929|Mon Mar 09 05:37:15 UTC 2015|C0553262|1|1|Lortab
577607389777666048|Mon Mar 16 23:08:27 UTC 2015|C0035253|3|1|Rest
581506813817970688|Fri Mar 27 17:23:22 UTC 2015|C0373675|5|1|mg
581506880679231488|Fri Mar 27 17:23:38 UTC 2015|C1170625|1|1|suboxone
577634534365102080|Tue Mar 17 00:56:19 UTC 2015|C1170625|1|1|suboxone
581507741539258368|Fri Mar 27 17:27:04 UTC 2015|C1522449|5|1|RT
581507912998232064|Fri Mar 27 17:27:45 UTC 2015|C0719198|1|1|Celebrex
581507912998232064|Fri Mar 27 17:27:45 UTC 2015|C0687133|3|1|interaction
577612528886251520|Mon Mar 16 23:28:53 UTC 2015|C0524222|5|1|Oxycontin
577612528886251520|Mon Mar 16 23:28:53 UTC 2015|C0722364|1|1|Oxycontin
581507978777505793|Fri Mar 27 17:28:00 UTC 2015|C0524222|5|1|OxyContin
581507978777505793|Fri Mar 27 17:28:00 UTC 2015|C0722364|1|1|OxyContin
581507978777505793|Fri Mar 27 17:28:00 UTC 2015|C0035253|3|1|rests
581507978844602369|Fri Mar 27 17:28:00 UTC 2015|C0524222|5|1|OxyContin
